EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8677,30,5,Wet Tropics,frequent,10.73,10.29,15.04,17.89,26.28,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8528,30,5,Wet Tropics,intermediate,19.05,28.52,11.46,19.51,12.54,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537,30,5,Wet Tropics,intermediate,8.58,12.53,14.37,18.82,15.48,30.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8572,30,5,Wet Tropics,intermediate,28.69,15.71,16.85,13.54,14.25,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8579,30,5,Wet Tropics,intermediate,10.43,10.7,9.79,25.4,26.03,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8627,30,5,Wet Tropics,intermediate,9,18.74,10.58,21.37,25.13,15.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8635,30,5,Wet Tropics,intermediate,9.52,16.67,21.43,23.81,16.67,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8655,30,5,Wet Tropics,intermediate,14.04,8.94,17.45,17.02,22.55,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8656,30,5,Wet Tropics,intermediate,15.51,20.69,18.97,15.52,12.07,17.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8657,30,5,Wet Tropics,intermediate,13.86,15.38,27.69,15.38,15.38,12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8658,30,5,Wet Tropics,intermediate,19.89,19.9,22.66,16.93,9.97,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5107,30,5,Wet Tropics,rare,11.58,12.42,17.92,32.7,16.01,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8521,30,5,Wet Tropics,rare,16.66,23.83,25.84,10.46,12.28,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8557,30,5,Wet Tropics,rare,15.95,13.83,27.66,17.02,12.77,12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8563,30,5,Wet Tropics,rare,24.72,18.43,14.23,14.22,14.2,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8568,30,5,Wet Tropics,rare,14.97,14.97,16.58,24.06,20.86,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8604,30,5,Wet Tropics,rare,18.13,18.71,20.47,19.88,12.28,10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8629,30,5,Wet Tropics,rare,26.18,8.77,8.77,21.51,25.39,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8633,30,5,Wet Tropics,rare,17.45,20.02,14.84,14.51,17.03,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8652,30,5,Wet Tropics,rare,24.63,10.56,9.83,17.48,15.11,22.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8654,30,5,Wet Tropics,rare,16.98,17.92,17.3,16.04,13.21,18.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8693,45,5,Wet Tropics,frequent,14.77,18.18,12.5,10.23,12.5,7.95,4.55,5.68,13.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8694,45,5,Wet Tropics,frequent,11.71,20.07,13.71,12.37,6.69,3.34,11.04,11.71,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8695,45,5,Wet Tropics,frequent,10.61,13.41,8.38,3.35,16.76,8.38,11.73,15.09,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8697,45,5,Wet Tropics,frequent,16.07,6.97,9.04,16.27,15.16,5.35,10.45,6.13,14.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
