EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,30,5,Central Slopes,frequent,16.18,16.18,16.19,16.19,16.79,18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,30,5,Central Slopes,frequent,9.83,27.17,22.54,17.34,14.45,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,30,5,Central Slopes,frequent,16.45,13.01,21.23,15.75,15.75,17.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,30,5,Central Slopes,frequent,29.16,8.13,6.36,6.36,18.32,31.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,30,5,Central Slopes,frequent,23.73,16.45,5.31,0.88,15.73,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,30,5,Central Slopes,intermediate,9.23,37.31,14.73,7.95,16.18,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,30,5,Central Slopes,intermediate,10.69,10.69,11.95,15.09,26.42,25.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,30,5,Central Slopes,intermediate,18.99,27.31,19.44,10.65,11.11,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,30,5,Central Slopes,intermediate,21.27,26.61,18.22,11.3,11.3,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,30,5,Central Slopes,intermediate,14.6,21.91,11.24,8.99,19.1,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,30,5,Central Slopes,intermediate,14.45,29.48,26.59,13.29,9.25,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,30,5,Central Slopes,intermediate,12.64,24.21,22.11,19.47,13.68,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,30,5,Central Slopes,intermediate,8.42,23.16,19.47,18.42,13.16,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,30,5,Central Slopes,intermediate,13.4,25.33,6.34,21.84,20.41,12.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,30,5,Central Slopes,intermediate,14.54,12.22,13.73,12.58,26.42,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,30,5,Central Slopes,rare,16.81,16.4,17.62,18.44,16.8,13.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,30,5,Central Slopes,rare,26.39,15.63,12.21,13.39,16.3,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,30,5,Central Slopes,rare,26.26,23.23,14.14,16.16,12.63,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,30,5,Central Slopes,rare,13.56,26.21,21.38,2.77,19.15,16.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,30,5,Central Slopes,rare,13.28,34.32,18.08,12.55,9.96,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,30,5,Central Slopes,rare,8.74,8.74,22.33,21.36,25.24,13.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,30,5,Central Slopes,rare,13.26,13.77,20.92,19.39,17.35,15.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,30,5,Central Slopes,rare,8.95,17.48,6.68,22.45,26.86,17.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,30,5,Central Slopes,rare,13.52,18.24,4.05,7.77,32.43,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,30,5,Central Slopes,rare,13.19,10.99,17.58,18.68,18.68,20.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,45,5,Central Slopes,frequent,2,19.1,20.6,14.07,5.53,15.08,10.55,8.04,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,45,5,Central Slopes,frequent,6.52,14.71,20.68,13.6,4.49,2.79,24.42,7.85,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,45,5,Central Slopes,frequent,4.26,21.28,19.86,11.35,14.18,9.93,5.67,7.09,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,45,5,Central Slopes,frequent,13.9,29.17,11.11,6.94,3.83,11.44,4.17,8.33,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,45,5,Central Slopes,frequent,13.51,12.36,13.9,6.05,13,7.45,11.8,12.27,9.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,45,5,Central Slopes,frequent,4.51,11.15,15.33,15.33,16.73,12.55,9.76,9.76,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
